"","age","ice_forcing"
"519",2.062,-2
"520",2.061,-1.85
"521",2.06,-1.68
"522",2.059,-1.49
"523",2.058,-1.33
"524",2.057,-1.2
"525",2.056,-1.11
"526",2.055,-1.05
"527",2.054,-1.03
"528",2.053,-1.03
"529",2.052,-1.07
"530",2.051,-1.14
"531",2.05,-1.22
"532",2.049,-1.32
"533",2.048,-1.41
"534",2.047,-1.48
"535",2.046,-1.52
"536",2.045,-1.53
"537",2.044,-1.51
"538",2.043,-1.45
"539",2.042,-1.4
"540",2.041,-1.38
"541",2.04,-1.37
"542",2.039,-1.37
"543",2.038,-1.34
"544",2.037,-1.28
"545",2.036,-1.17
"546",2.035,-1.02
"547",2.034,-0.86
"548",2.033,-0.68
"549",2.032,-0.56
"550",2.031,-0.49
"551",2.03,-0.44
"552",2.029,-0.38
"553",2.028,-0.35
"554",2.027,-0.31
"555",2.026,-0.29
"556",2.025,-0.28
"557",2.024,-0.29
"558",2.023,-0.32
"559",2.022,-0.36
"560",2.021,-0.4
"561",2.02,-0.44
"562",2.019,-0.48
"563",2.018,-0.6
"564",2.017,-0.8
"565",2.016,-1.03
"566",2.015,-1.27
"567",2.014,-1.39
"568",2.013,-1.37
"569",2.012,-1.36
"570",2.011,-1.36
"571",2.01,-1.42
"572",2.009,-1.54
"573",2.008,-1.67
"574",2.007,-1.8
"575",2.006,-1.87
"576",2.005,-1.87
"577",2.004,-1.87
"578",2.003,-1.86
"579",2.002,-1.85
"580",2.001,-1.84
"581",2,-1.8
"582",1.999,-1.72
"583",1.998,-1.65
"584",1.997,-1.58
"585",1.996,-1.5
"586",1.995,-1.42
"587",1.994,-1.36
"588",1.993,-1.34
"589",1.992,-1.3
"590",1.991,-1.25
"591",1.99,-1.17
"592",1.989,-1.06
"593",1.988,-0.91
"594",1.987,-0.7
"595",1.986,-0.55
"596",1.985,-0.43
"597",1.984,-0.36
"598",1.983,-0.31
"599",1.982,-0.29
"600",1.981,-0.29
"601",1.98,-0.29
"602",1.979,-0.3
"603",1.978,-0.32
"604",1.977,-0.35
"605",1.976,-0.38
"606",1.975,-0.39
"607",1.974,-0.42
"608",1.973,-0.47
"609",1.972,-0.53
"610",1.971,-0.6
"611",1.97,-0.66
"612",1.969,-0.73
"613",1.968,-0.8
"614",1.967,-0.86
"615",1.966,-0.99
"616",1.965,-1.19
"617",1.964,-1.49
"618",1.963,-1.89
"619",1.962,-2.1
"620",1.961,-2.11
"621",1.96,-2.1
"622",1.959,-2.08
"623",1.958,-2.07
"624",1.957,-2.09
"625",1.956,-2.13
"626",1.955,-2.19
"627",1.954,-2.23
"628",1.953,-2.25
"629",1.952,-2.25
"630",1.951,-2.25
"631",1.95,-2.25
"632",1.949,-2.26
"633",1.948,-2.27
"634",1.947,-2.27
"635",1.946,-2.27
"636",1.945,-2.27
"637",1.944,-2.21
"638",1.943,-2.1
"639",1.942,-1.93
"640",1.941,-1.72
"641",1.94,-1.5
"642",1.939,-1.28
"643",1.938,-1.13
"644",1.937,-1.05
"645",1.936,-0.97
"646",1.935,-0.89
"647",1.934,-0.79
"648",1.933,-0.68
"649",1.932,-0.63
"650",1.931,-0.68
"651",1.93,-0.69
"652",1.929,-0.69
"653",1.928,-0.7
"654",1.927,-0.7
"655",1.926,-0.72
"656",1.925,-0.74
"657",1.924,-0.78
"658",1.923,-0.86
"659",1.922,-0.96
"660",1.921,-1.1
"661",1.92,-1.19
"662",1.919,-1.24
"663",1.918,-1.27
"664",1.917,-1.31
"665",1.916,-1.37
"666",1.915,-1.45
"667",1.914,-1.53
"668",1.913,-1.6
"669",1.912,-1.66
"670",1.911,-1.68
"671",1.91,-1.7
"672",1.909,-1.69
"673",1.908,-1.72
"674",1.907,-1.77
"675",1.906,-1.82
"676",1.905,-1.87
"677",1.904,-1.9
"678",1.903,-1.92
"679",1.902,-1.93
"680",1.901,-1.93
"681",1.9,-1.89
"682",1.899,-1.82
"683",1.898,-1.74
"684",1.897,-1.66
"685",1.896,-1.59
"686",1.895,-1.53
"687",1.894,-1.47
"688",1.893,-1.41
"689",1.892,-1.37
"690",1.891,-1.33
"691",1.89,-1.3
"692",1.889,-1.3
"693",1.888,-1.29
"694",1.887,-1.31
"695",1.886,-1.33
"696",1.885,-1.35
"697",1.884,-1.38
"698",1.883,-1.4
"699",1.882,-1.4
"700",1.881,-1.38
"701",1.88,-1.37
"702",1.879,-1.36
"703",1.878,-1.36
"704",1.877,-1.36
"705",1.876,-1.37
"706",1.875,-1.39
"707",1.874,-1.42
"708",1.873,-1.46
"709",1.872,-1.57
"710",1.871,-1.74
"711",1.87,-1.9
"712",1.869,-2.07
"713",1.868,-2.19
"714",1.867,-2.28
"715",1.866,-2.38
"716",1.865,-2.49
"717",1.864,-2.52
"718",1.863,-2.5
"719",1.862,-2.42
"720",1.861,-2.3
"721",1.86,-2.12
"722",1.859,-1.9
"723",1.858,-1.62
"724",1.857,-1.27
"725",1.856,-1.04
"726",1.855,-0.92
"727",1.854,-0.84
"728",1.853,-0.8
"729",1.852,-0.8
"730",1.851,-0.83
"731",1.85,-0.89
"732",1.849,-1.01
"733",1.848,-1.11
"734",1.847,-1.2
"735",1.846,-1.23
"736",1.845,-1.2
"737",1.844,-1.16
"738",1.843,-1.11
"739",1.842,-1.1
"740",1.841,-1.13
"741",1.84,-1.17
"742",1.839,-1.22
"743",1.838,-1.25
"744",1.837,-1.25
"745",1.836,-1.24
"746",1.835,-1.22
"747",1.834,-1.19
"748",1.833,-1.16
"749",1.832,-1.09
"750",1.831,-0.96
"751",1.83,-0.91
"752",1.829,-0.93
"753",1.828,-1.01
"754",1.827,-1.18
"755",1.826,-1.29
"756",1.825,-1.37
"757",1.824,-1.42
"758",1.823,-1.44
"759",1.822,-1.5
"760",1.821,-1.58
"761",1.82,-1.67
"762",1.819,-1.8
"763",1.818,-1.84
"764",1.817,-1.79
"765",1.816,-1.71
"766",1.815,-1.62
"767",1.814,-1.53
"768",1.813,-1.43
"769",1.812,-1.31
"770",1.811,-1.16
"771",1.81,-1.04
"772",1.809,-0.95
"773",1.808,-0.92
"774",1.807,-0.95
"775",1.806,-1.02
"776",1.805,-1.12
"777",1.804,-1.34
"778",1.803,-1.67
"779",1.802,-1.91
"780",1.801,-2.04
"781",1.8,-2.12
"782",1.799,-2.16
"783",1.798,-2.21
"784",1.797,-2.26
"785",1.796,-2.31
"786",1.795,-2.36
"787",1.794,-2.39
"788",1.793,-2.39
"789",1.792,-2.36
"790",1.791,-2.29
"791",1.79,-2.23
"792",1.789,-2.18
"793",1.788,-2.09
"794",1.787,-1.96
"795",1.786,-1.87
"796",1.785,-1.83
"797",1.784,-1.76
"798",1.783,-1.69
"799",1.782,-1.57
"800",1.781,-1.4
"801",1.78,-1.25
"802",1.779,-1.12
"803",1.778,-1.01
"804",1.777,-0.92
"805",1.776,-0.84
"806",1.775,-0.77
"807",1.774,-0.7
"808",1.773,-0.64
"809",1.772,-0.59
"810",1.771,-0.56
"811",1.77,-0.55
"812",1.769,-0.56
"813",1.768,-0.59
"814",1.767,-0.61
"815",1.766,-0.63
"816",1.765,-0.65
"817",1.764,-0.68
"818",1.763,-0.68
"819",1.762,-0.7
"820",1.761,-0.72
"821",1.76,-0.78
"822",1.759,-0.87
"823",1.758,-1
"824",1.757,-1.17
"825",1.756,-1.37
"826",1.755,-1.59
"827",1.754,-1.83
"828",1.753,-2.07
"829",1.752,-2.3
"830",1.751,-2.52
"831",1.75,-2.67
"832",1.749,-2.74
"833",1.748,-2.8
"834",1.747,-2.83
"835",1.746,-2.77
"836",1.745,-2.6
"837",1.744,-2.36
"838",1.743,-2.05
"839",1.742,-1.74
"840",1.741,-1.45
"841",1.74,-1.23
"842",1.739,-1.08
"843",1.738,-0.99
"844",1.737,-0.93
"845",1.736,-0.93
"846",1.735,-1
"847",1.734,-1.14
"848",1.733,-1.35
"849",1.732,-1.51
"850",1.731,-1.62
"851",1.73,-1.65
"852",1.729,-1.61
"853",1.728,-1.61
"854",1.727,-1.63
"855",1.726,-1.63
"856",1.725,-1.61
"857",1.724,-1.6
"858",1.723,-1.57
"859",1.722,-1.5
"860",1.721,-1.39
"861",1.72,-1.26
"862",1.719,-1.1
"863",1.718,-1.05
"864",1.717,-1.1
"865",1.716,-1.19
"866",1.715,-1.32
"867",1.714,-1.55
"868",1.713,-1.87
"869",1.712,-2.07
"870",1.711,-2.15
"871",1.71,-2.27
"872",1.709,-2.4
"873",1.708,-2.52
"874",1.707,-2.6
"875",1.706,-2.64
"876",1.705,-2.67
"877",1.704,-2.69
"878",1.703,-2.68
"879",1.702,-2.62
"880",1.701,-2.52
"881",1.7,-2.38
"882",1.699,-2.22
"883",1.698,-2.07
"884",1.697,-1.94
"885",1.696,-1.85
"886",1.695,-1.79
"887",1.694,-1.7
"888",1.693,-1.58
"889",1.692,-1.5
"890",1.691,-1.43
"891",1.69,-1.39
"892",1.689,-1.38
"893",1.688,-1.35
"894",1.687,-1.31
"895",1.686,-1.23
"896",1.685,-1.12
"897",1.684,-1.04
"898",1.683,-0.98
"899",1.682,-0.97
"900",1.681,-1.01
"901",1.68,-1.06
"902",1.679,-1.11
"903",1.678,-1.15
"904",1.677,-1.16
"905",1.676,-1.19
"906",1.675,-1.22
"907",1.674,-1.33
"908",1.673,-1.49
"909",1.672,-1.63
"910",1.671,-1.73
"911",1.67,-1.79
"912",1.669,-1.83
"913",1.668,-1.9
"914",1.667,-2.02
"915",1.666,-2.12
"916",1.665,-2.19
"917",1.664,-2.24
"918",1.663,-2.28
"919",1.662,-2.32
"920",1.661,-2.37
"921",1.66,-2.42
"922",1.659,-2.48
"923",1.658,-2.54
"924",1.657,-2.59
"925",1.656,-2.64
"926",1.655,-2.69
"927",1.654,-2.73
"928",1.653,-2.74
"929",1.652,-2.74
"930",1.651,-2.72
"931",1.65,-2.67
"932",1.649,-2.6
"933",1.648,-2.54
"934",1.647,-2.47
"935",1.646,-2.4
"936",1.645,-2.31
"937",1.644,-2.17
"938",1.643,-1.97
"939",1.642,-1.76
"940",1.641,-1.55
"941",1.64,-1.38
"942",1.639,-1.24
"943",1.638,-1.12
"944",1.637,-1.01
"945",1.636,-0.93
"946",1.635,-0.87
"947",1.634,-0.84
"948",1.633,-0.84
"949",1.632,-0.9
"950",1.631,-1
"951",1.63,-1.15
"952",1.629,-1.34
"953",1.628,-1.47
"954",1.627,-1.55
"955",1.626,-1.57
"956",1.625,-1.55
"957",1.624,-1.48
"958",1.623,-1.39
"959",1.622,-1.39
"960",1.621,-1.47
"961",1.62,-1.58
"962",1.619,-1.72
"963",1.618,-1.83
"964",1.617,-1.91
"965",1.616,-1.94
"966",1.615,-1.94
"967",1.614,-1.9
"968",1.613,-1.82
"969",1.612,-1.74
"970",1.611,-1.68
"971",1.61,-1.58
"972",1.609,-1.44
"973",1.608,-1.27
"974",1.607,-1.05
"975",1.606,-0.87
"976",1.605,-0.7
"977",1.604,-0.56
"978",1.603,-0.44
"979",1.602,-0.39
"980",1.601,-0.4
