Samples_Sample_ID,Level_composite_TF,Age,d13C,d18O,D47,d13C stdev,d18O stdev,D47 stderr
BB-TF1-14-021,367,54.66078431,-9.66822607,-4.021764845,,0.073207468,0.119501743,
PS22-Bk,,54.6,-11.4,-5.9,0.5673,0.02,0.0,0.003901722
BB-TF1-14-023,370,54.5745098,-9.906817652,-3.926155901,,0.063358109,0.089589341,
BB-TF1-14-023,370,54.5745098,-10.07898254,-4.013055025,,0.041034611,0.03121355,
BB-TF3-14-004,370.5,54.56013072,-10.67233943,-3.751613137,,0.066590164,0.073558933,
BB-TF3-14-005,373,54.48823529,-11.41720283,-4.530973958,,0.030576407,0.08391017,
BB-TF1-14-024,373.5,54.47385621,-9.726617427,-4.046447469,,0.057586891,0.075292209,
BB-TF3-14-006,376,54.40196078,-10.06877803,-3.706687568,,0.04470179,0.082358464,
GH14-002,,54.4,-11.0,-4.7,0.5842,0.02,0.0,0.01349
GH14-002nod2,,54.4,-10.9,-4.8,0.5685,0.03,0.1,0.01537006
BB12-PETM6,377,54.37320261,-9.849140627,-3.949555647,,0.063580261,0.047259978,
BB-TF3-14-009,386,54.11437908,-11.40004473,-4.857435637,,0.047738,0.043193364,
BB-TF3-14-010,387,54.08562092,-10.92693535,-5.325287069,,0.036189317,0.088924594,
BB-TF3-14-011,391.5,53.95620915,-11.28952638,-4.178549678,,0.040925746,0.102399544,
BB-TF3-14-012,394,53.88431373,-10.86435875,-4.463593214,,0.032098806,0.034654245,
BB-TF3-14-012,394,53.9,-10.9,-5.1,0.5853,0.02,0.1,0.025900348
BB-TF3-14-013,396.5,53.8124183,-11.46262133,-4.72133616,,0.030081833,0.051874046,
BB-TF3-14-014,397.5,53.78366013,-13.4537179,-5.300753489,,0.050006666,0.069940451,
BB-TF3-14-015,400,53.71176471,-11.59509195,-4.620498868,,0.057285833,0.097783775,
BB-TF3-14-017,401.5,53.66862745,-11.89297221,-4.619060154,,0.040542159,0.030137186,
BB-TF3-14-019,405,53.56797386,-11.36699015,-4.141440008,,0.070296989,0.043949782,
BB-TF3-14-020,407.5,53.49607843,-11.421997,-4.317368885,,0.061008196,0.046535828,
BB-TF3-14-023,411,53.39542484,-11.34503788,-4.215808555,,0.021654484,0.039836123,
BB-TF3-14-024,429,52.87777778,-10.66224643,-4.541144177,,0.016820127,0.057191928,
BB-TF3-14-025,431.5,52.80588235,-10.41799583,-5.038826989,,0.062697023,0.093466572,
BB-TF3-14-026,432.5,52.77712418,-10.40992143,-4.302392067,,0.182682557,0.205182033,
BB-TF3-14-027,433.5,52.74836601,-10.27417058,-4.342411226,,0.052168797,0.055560778,
BB-TF3-14-027,433.5,52.7,-10.1,-4.7,0.5982,0.01,0.1,0.014333505
BB-TF3-14-028,434.5,52.71960784,-10.2138649,-3.81429655,,0.03102687,0.056193119,
