"age","d11B","d11Bse","d18O","MgCa","species","d13C"
55.849,NA,NA,-1.71,NA,"Grub",2.81
55.849,NA,NA,-1.56,NA,"Grub",1.78
55.849,NA,NA,-1.55,NA,"Grub",2.14
55.849,NA,NA,-1.49,NA,"Grub",1.92
55.849,NA,NA,-1.25,NA,"Grub",2.76
55.849,NA,NA,-1.21,NA,"Tsac",2.33
55.849,NA,NA,-1.12,NA,"Tsac",2.04
55.849,NA,NA,-1.03,NA,"Tsac",1.72
55.848,13.85,0.15,NA,NA,"Tsac",NA
55.846,14.96,0.15,NA,NA,"Grub",NA
55.843,NA,NA,NA,4.02,"Grub",NA
55.843,NA,NA,NA,4.13,"Grub",NA
55.833,NA,NA,-1.86,NA,"Grub",3.16
55.833,NA,NA,-1.74,NA,"Grub",2.84
55.833,NA,NA,-1.71,NA,"Grub",3.09
55.833,NA,NA,-1.67,NA,"Grub",3.31
55.833,NA,NA,-1.49,NA,"Grub",1.64
55.833,NA,NA,-1.38,NA,"Tsac",2.63
55.833,NA,NA,-1.26,NA,"Tsac",2.71
55.833,NA,NA,-1.23,NA,"Tsac",2.23
55.822,NA,NA,-1.5,3.89,"Grub",2.73
55.82,NA,NA,NA,3.95,"Grub",NA
55.817,NA,NA,NA,3.64,"Tsac",NA
55.817,NA,NA,NA,4.12,"Tsac",NA
55.815,15.13,0.12,-1.44,NA,"Grub",2.55
55.815,NA,NA,-1.54,NA,"Grub",2.99
55.815,NA,NA,-1.54,NA,"Grub",2.37
55.815,NA,NA,-1.47,NA,"Grub",2.75
55.815,NA,NA,-1.45,NA,"Grub",2.44
55.815,NA,NA,-1.43,NA,"Tsac",2.76
55.815,NA,NA,-1.27,NA,"Tsac",2.69
55.805,NA,NA,NA,3.46,"Grub",NA
55.805,NA,NA,NA,3.71,"Grub",NA
55.803,NA,NA,-1.67,NA,"Grub",3.25
55.803,NA,NA,-1.54,NA,"Grub",2.48
55.803,NA,NA,-1.51,NA,"Tsac",3.45
55.803,NA,NA,-1.46,NA,"Grub",2.88
55.803,NA,NA,-1.39,NA,"Tsac",2.95
55.803,NA,NA,-1.39,NA,"Grub",3.43
55.803,NA,NA,-1.26,NA,"Grub",2.75
55.8,NA,NA,-1.54,NA,"Grub",3.11
55.798,NA,NA,NA,4.23,"Grub",NA
55.796,15.43,0.19,NA,4.08,"Grub",NA
55.796,NA,NA,NA,3.41,"Tsac",NA
55.794,NA,NA,-1.69,NA,"Grub",3.14
55.794,NA,NA,-1.55,NA,"Grub",2.86
55.794,NA,NA,-1.46,NA,"Tsac",3.27
55.794,NA,NA,-1.43,NA,"Grub",2.71
55.794,NA,NA,-1.36,NA,"Grub",2.75
55.794,NA,NA,-1.23,NA,"Grub",3.54
55.794,NA,NA,-1.07,NA,"Tsac",2.89
55.788,15.86,0.12,NA,NA,"Grub",NA
55.781,NA,NA,-1.6,3.59,"Grub",3.34
55.776,NA,NA,NA,3.88,"Grub",NA
55.774,NA,NA,NA,3.31,"Tsac",NA
55.772,NA,NA,NA,4.3,"Grub",NA
55.765,NA,NA,NA,3.78,"Tsac",NA
55.761,NA,NA,-1.6,NA,"Grub",3.24
55.759,NA,NA,NA,3.86,"Grub",NA
55.753,NA,NA,NA,3.43,"Tsac",NA
55.749,NA,NA,NA,3.99,"Grub",NA
55.741,NA,NA,-1.62,NA,"Grub",3.49
