age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
2.044,1%,9%,0%,0%,0%,0%,5%,24%,3%,4%,0%,0%,42%,12%,0%,19.2,16.8,21
2.049,3%,7%,0%,0%,0%,0%,19%,18%,1%,2%,0%,0%,44%,4%,1%,12.3,9,15.1
2.054,1%,7%,0%,0%,0%,0%,7%,27%,0%,1%,0%,0%,53%,3%,0%,19,17.2,21.8
2.058,5%,11%,0%,0%,0%,0%,6%,20%,5%,7%,0%,0%,34%,12%,0%,16.3,14,17
2.063,6%,11%,0%,0%,0%,0%,5%,22%,4%,6%,0%,0%,37%,11%,0%,17.4,15.5,18
2.072,4%,9%,0%,0%,0%,0%,7%,18%,4%,10%,0%,0%,35%,12%,0%,16.6,14.3,18.4
2.084,5%,14%,0%,0%,0%,0%,9%,17%,3%,10%,0%,0%,29%,12%,0%,13.6,10.4,16.3
2.095,8%,9%,0%,0%,0%,0%,11%,20%,6%,12%,0%,0%,25%,8%,0%,11.3,10,11.2
2.1,5%,10%,0%,0%,0%,0%,9%,20%,6%,7%,0%,0%,27%,11%,4%,13.6,11.2,15.1
2.105,3%,9%,0%,0%,0%,0%,6%,15%,6%,5%,0%,0%,37%,15%,4%,17.6,15.3,18.8
2.112,4%,7%,0%,0%,0%,0%,8%,12%,4%,5%,0%,0%,40%,16%,4%,16.2,14,18.9
2.121,3%,7%,0%,0%,0%,0%,9%,11%,5%,4%,0%,0%,40%,17%,4%,16.2,14,18.8
2.129,3%,9%,0%,0%,0%,0%,11%,14%,6%,4%,0%,0%,36%,14%,3%,14.5,11.3,16.6
2.137,12%,6%,0%,0%,0%,0%,8%,20%,0%,0%,0%,0%,41%,13%,0%,15.1,15.5,17
2.141,4%,7%,0%,0%,0%,0%,9%,14%,5%,5%,0%,0%,40%,16%,0%,16,14.2,17.7
2.145,0%,0%,0%,0%,0%,0%,12%,13%,6%,5%,0%,0%,47%,18%,0%,16.2,14.6,19
2.151,4%,13%,0%,0%,0%,0%,3%,14%,4%,5%,0%,0%,38%,13%,6%,19.5,16.6,20.7
2.157,6%,17%,0%,0%,0%,0%,5%,20%,6%,6%,0%,0%,31%,9%,0%,16.7,13.4,16.1
2.163,6%,13%,0%,0%,0%,0%,11%,20%,4%,5%,0%,0%,30%,12%,0%,12.9,10.2,14.9
2.168,6%,16%,0%,0%,0%,0%,10%,16%,5%,7%,0%,0%,29%,10%,0%,12.7,9.1,13.4
2.17,2%,10%,0%,0%,0%,0%,7%,39%,0%,1%,0%,0%,36%,4%,0%,16.9,14.8,19.5
2.191,0%,9%,0%,0%,0%,0%,11%,18%,0%,0%,0%,0%,42%,19%,0%,15.7,12.2,21
2.217,4%,7%,0%,0%,0%,0%,4%,14%,5%,4%,0%,0%,41%,19%,0%,18.8,17.7,20.4
2.229,3%,8%,0%,0%,0%,0%,5%,19%,6%,5%,0%,0%,35%,17%,3%,17.9,15.8,18.8
