site,SID,age,d13C,d18O,d13Co,D47,D47.sd
Shilou,SL01-4310,7.045,-6.1,-9.3,-25.4,,
Shilou,SL01-4360,7.079,-6.4,-9.1,-26.1,,
Shilou,SL01-4370,7.085,-6.3,-9.2,-25.7,,
Shilou,SL01-4390,7.094,-6.4,-9.1,-25.4,,
Shilou,SL02-0,7.135,-6.2,-9,-28.6,,
Shilou,SL02-110,7.18,-6.2,-9.4,-29.1,,
Shilou,SL02-150,7.196,-6.5,-9.6,-27.8,,
Shilou,SL02-220,7.225,-7.1,-9.4,-27.1,,
Shilou,SL02-290,7.253,-8.4,-9.7,-24,,
Shilou,SL02-300,7.257,-6.7,-9.6,-26.4,,
Shilou,SL02-380,7.29,-6.3,-9.3,-26.8,,
Shilou,SL02-430,7.31,-6.5,-9.3,-30,,
Shilou,SL02-510,7.343,-6.9,-9.2,-26.2,,
Shilou,SL02-580,7.371,-6.4,-9.3,-26.2,,
Shilou,SL02-640,7.396,-5.7,-9.1,-27.2,,
Shilou,SL02-700,7.42,-6.5,-9,-25.1,,
Shilou,SL02-920,7.521,-7,-9.3,-28.2,,
